weekending,providername,providercity,residentstotaladmissionscovid-19,residentstotalconfirmedcovid-19,residentstotalsuspectedcovid-19,residentsweeklyalldeaths,residentstotalalldeaths,residentstotalcovid-19deaths,numberofallbeds,totalnumberofoccupiedbeds,staffweeklyconfirmedcovid-19,stafftotalconfirmedcovid-19,staffweeklysuspectedcovid-19,stafftotalsuspectedcovid-19,stafftotalcovid-19deaths,shortageofnursingstaff,shortageofclinicalstaff,shortageofaides,shortageofotherstaff,anycurrentsupplyofn95masks,one-weeksupplyofn95masks,anycurrentsupplyofsurgicalmasks,one-weeksupplyofsurgicalmasks,anycurrentsupplyofeyeprotection,one-weeksupplyofeyeprotection,one-weeksupplyofgowns,anycurrentsupplyofhandsanitizer,threeormoreconfirmedcovid-19casesthisweekorinitialconfirmedcovid-19casethisweek,abletotestorobtainresourcestotestallcurrentresidentswithinnext7days,abletotestorobtainresourcestotestallstaffand/orpersonnelwithinnext7days
2020-05-24T00:00:00,NORTHBRIDGE HEALTH CARE CENTER,BRIDGEPORT,25,0,0,0,0,0,0,0,1,1,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-05-24T00:00:00,"ORCHARD GROVE SPECIALTY CARE CENTER, LLC",UNCASVILLE,6,28,3,0,19,7,120,81,0,15,0,2,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-07-19T00:00:00,WATROUS NURSING CENTER,MADISON,0,1,1,0,0,0,45,29,0,1,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-06-28T00:00:00,APPLE REHAB SHELTON LAKES,SHELTON,1,0,0,1,2,0,106,73,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-09-13T00:00:00,REGALCARE AT GREENWICH,GREENWICH,11,12,0,0,28,14,75,62,0,7,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-11-15T00:00:00,"WITHERELL, NATHANIEL",GREENWICH,161,30,14,0,16,16,202,152,1,11,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-12-27T00:00:00,AVERY NURSING HOME,HARTFORD,25,82,1,1,39,21,199,141,1,92,0,11,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2020-08-30T00:00:00,REGALCARE AT GREENWICH,GREENWICH,11,12,0,0,28,14,75,64,0,7,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-10-11T00:00:00,"GROVE MANOR NURSING HOME, INC",WATERBURY,2,29,0,0,2,1,60,43,1,7,0,0,0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-01-31T00:00:00,"WINDSOR HEALTH AND REHABILITATION CENTER, LLC",WINDSOR,7,8,1,0,34,0,108,88,0,18,0,0,0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
