Indicator,Groups,State,Subgroup,Phase,TimePeriod,TimePeriodLabel,TimePeriodStartDate,TimePeriodEndDate,Value,LowCI,HighCI,ConfidenceInterval,QuartileRange
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,23.5,22.7,24.3,23.5,27.85
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,32.7,30.2,35.2,32.7,27.85
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,25.7,24.1,27.3,25.700000000000003,27.85
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,24.8,23.3,26.2,24.75,27.85
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,23.2,21.5,25,23.25,27.85
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,18.4,17,19.7,18.35,27.85
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,13.6,11.8,15.5,13.65,27.85
Symptoms of Depressive Disorder,By Age,United States,80 years and above,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,14.4,9,21.4,15.2,27.85
Symptoms of Depressive Disorder,By Sex,United States,Male,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,20.8,19.6,22,20.8,27.85
Symptoms of Depressive Disorder,By Sex,United States,Female,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,26.1,25.2,27.1,26.15,27.85
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,29.4,26.8,32.1,29.450000000000003,27.85
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,21.4,20.6,22.1,21.35,27.85
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,25.6,23.7,27.5,25.6,27.85
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,23.6,20.3,27.1,23.700000000000003,27.85
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,28.3,24.8,32,28.4,27.85
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,32.7,27.8,38,32.9,27.85
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,25.4,23.9,26.9,25.4,27.85
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,25.6,24.4,26.9,25.65,27.85
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,17.6,16.8,18.4,17.6,27.85
Symptoms of Depressive Disorder,By State,Alabama,Alabama,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,18.6,14.6,23.1,18.85,18.6
Symptoms of Depressive Disorder,By State,Alaska,Alaska,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,19.2,16.8,21.8,19.3,18.6
Symptoms of Depressive Disorder,By State,Arizona,Arizona,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,22.4,19.4,25.5,22.45,23.1
Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,26.6,22.3,31.3,26.8,26.4
Symptoms of Depressive Disorder,By State,California,California,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,25.4,22.5,28.6,25.55,26.4
Symptoms of Depressive Disorder,By State,Colorado,Colorado,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,22,19.4,24.9,22.15,21.450000000000003
Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,24.4,20.1,29.1,24.6,26.4
Symptoms of Depressive Disorder,By State,Delaware,Delaware,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,21.1,17.6,24.9,21.25,21.450000000000003
Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,26.4,22.1,31.1,26.6,26.4
Symptoms of Depressive Disorder,By State,Florida,Florida,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,22.5,19.7,25.4,22.549999999999997,23.1
Symptoms of Depressive Disorder,By State,Georgia,Georgia,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,25.6,21.4,30.2,25.799999999999997,26.4
Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,20,14.9,26.1,20.5,18.6
Symptoms of Depressive Disorder,By State,Idaho,Idaho,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,20.6,17.3,24.1,20.700000000000003,18.6
Symptoms of Depressive Disorder,By State,Illinois,Illinois,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,23.3,19.6,27.2,23.4,23.1
Symptoms of Depressive Disorder,By State,Indiana,Indiana,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,26.4,22.1,31,26.55,26.4
Symptoms of Depressive Disorder,By State,Iowa,Iowa,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,16.5,13.7,19.6,16.65,18.6
Symptoms of Depressive Disorder,By State,Kansas,Kansas,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,22.1,18.3,26.4,22.35,21.450000000000003
Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,23.2,19.4,27.4,23.4,23.1
Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,28.1,24.1,32.4,28.25,26.4
